No. of Switches,ONOS,Floodlight,OpenDayLight,RYU
1,13030.12,12660,12400.14,3300.11
5,35770.22,33001.2,27000.21,3109.12
10,33002.2,31000.12,26001.33,3570.33
15,31490.77,26550.17,20012.12,2300.77
20,25882.9,19811.78,10992.77,2076.23
25,20023.21,13001.45,10700.2,1091.11
30,16910.12,10012.12,9003.1,1001.2
